Feature,Data_Label,Data_Description,Data_Type
y,readmit,Recoded - Readmit (yes = 1/no),dichotomous/binary
y,readmit_<30_days,Recoded - less than 30 days  (yes=1/no),dichotomous/binary
x,race_?,Race/Ethnicity,dichotomous/binary
x,race_AfricanAmerican,Race/Ethnicity,dichotomous/binary
x,race_Asian,Race/Ethnicity,dichotomous/binary
x,race_Caucasian,Race/Ethnicity,dichotomous/binary
x,race_Hispanic,Race/Ethnicity,dichotomous/binary
x,race_Other,Race/Ethnicity,dichotomous/binary
x,gender_Female,Gender,dichotomous/binary
x,gender_Male,Gender,dichotomous/binary
x,gender_Unknown/Invalid,Gender,dichotomous/binary
x,age_[0-10),Age,dichotomous/binary
x,age_[10-20),Age,dichotomous/binary
x,age_[20-30),Age,dichotomous/binary
x,age_[30-40),Age,dichotomous/binary
x,age_[40-50),Age,dichotomous/binary
x,age_[50-60),Age,dichotomous/binary
x,age_[60-70),Age,dichotomous/binary
x,age_[70-80),Age,dichotomous/binary
x,age_[80-90),Age,dichotomous/binary
x,age_[90-100),Age,dichotomous/binary
x,weight_>200,Weight,dichotomous/binary
x,weight_?,Weight,dichotomous/binary
x,weight_[0-25),Weight,dichotomous/binary
x,weight_[100-125),Weight,dichotomous/binary
x,weight_[125-150),Weight,dichotomous/binary
x,weight_[150-175),Weight,dichotomous/binary
x,weight_[175-200),Weight,dichotomous/binary
x,weight_[25-50),Weight,dichotomous/binary
x,weight_[50-75),Weight,dichotomous/binary
x,weight_[75-100),Weight,dichotomous/binary
x,medical_specialty_?,Medical Specialty Department,dichotomous/binary
x,medical_specialty_AllergyandImmunology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Anesthesiology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Anesthesiology-Pediatric,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Cardiology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Cardiology-Pediatric,Medical Specialty Department,dichotomous/binary
x,medical_specialty_DCPTEAM,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Dentistry,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Dermatology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Emergency/Trauma,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Endocrinology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Endocrinology-Metabolism,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Family/GeneralPractice,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Gastroenterology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Gynecology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Hematology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Hematology/Oncology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Hospitalist,Medical Specialty Department,dichotomous/binary
x,medical_specialty_InfectiousDiseases,Medical Specialty Department,dichotomous/binary
x,medical_specialty_InternalMedicine,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Nephrology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Neurology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Neurophysiology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Obsterics&Gynecology-GynecologicOnco,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Obstetrics,Medical Specialty Department,dichotomous/binary
x,medical_specialty_ObstetricsandGynecology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Oncology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Ophthalmology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Orthopedics,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Orthopedics-Reconstructive,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Osteopath,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Otolaryngology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_OutreachServices,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pathology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-AllergyandImmunology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-CriticalCare,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-EmergencyMedicine,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-Endocrinology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-Hematology-Oncology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-InfectiousDiseases,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-Neurology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pediatrics-Pulmonology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Perinatology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_PhysicalMedicineandRehabilitation,Medical Specialty Department,dichotomous/binary
x,medical_specialty_PhysicianNotFound,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Podiatry,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Proctology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Psychiatry,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Psychiatry-Addictive,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Psychiatry-Child/Adolescent,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Psychology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Pulmonology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Radiologist,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Radiology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Resident,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Rheumatology,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Speech,Medical Specialty Department,dichotomous/binary
x,medical_specialty_SportsMedicine,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgeon,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Cardiovascular,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Cardiovascular/Thoracic,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Colon&Rectal,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-General,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Maxillofacial,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Neuro,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Pediatric,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Plastic,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-PlasticwithinHeadandNeck,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Thoracic,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Surgery-Vascular,Medical Specialty Department,dichotomous/binary
x,medical_specialty_SurgicalSpecialty,Medical Specialty Department,dichotomous/binary
x,medical_specialty_Urology,Medical Specialty Department,dichotomous/binary
x,max_glu_serum_>200,Glucose Serum Test Results,dichotomous/binary
x,max_glu_serum_>300,Glucose Serum Test Results,dichotomous/binary
x,max_glu_serum_None,Glucose Serum Test Results,dichotomous/binary
x,max_glu_serum_Norm,Glucose Serum Test Results,dichotomous/binary
x,A1Cresult_>7,A1C Test Results,dichotomous/binary
x,A1Cresult_>8,A1C Test Results,dichotomous/binary
x,A1Cresult_None,A1C Test Results,dichotomous/binary
x,A1Cresult_Norm,A1C Test Results,dichotomous/binary
x,metformin_Down,Drug given while in hospital?,dichotomous/binary
x,metformin_No,Drug given while in hospital?,dichotomous/binary
x,metformin_Steady,Drug given while in hospital?,dichotomous/binary
x,metformin_Up,Drug given while in hospital?,dichotomous/binary
x,repaglinide_Down,Drug given while in hospital?,dichotomous/binary
x,repaglinide_No,Drug given while in hospital?,dichotomous/binary
x,repaglinide_Steady,Drug given while in hospital?,dichotomous/binary
x,repaglinide_Up,Drug given while in hospital?,dichotomous/binary
x,nateglinide_Down,Drug given while in hospital?,dichotomous/binary
x,nateglinide_No,Drug given while in hospital?,dichotomous/binary
x,nateglinide_Steady,Drug given while in hospital?,dichotomous/binary
x,nateglinide_Up,Drug given while in hospital?,dichotomous/binary
x,chlorpropamide_Down,Drug given while in hospital?,dichotomous/binary
x,chlorpropamide_No,Drug given while in hospital?,dichotomous/binary
x,chlorpropamide_Steady,Drug given while in hospital?,dichotomous/binary
x,chlorpropamide_Up,Drug given while in hospital?,dichotomous/binary
x,glimepiride_Down,Drug given while in hospital?,dichotomous/binary
x,glimepiride_No,Drug given while in hospital?,dichotomous/binary
x,glimepiride_Steady,Drug given while in hospital?,dichotomous/binary
x,glimepiride_Up,Drug given while in hospital?,dichotomous/binary
x,acetohexamide_No,Drug given while in hospital?,dichotomous/binary
x,acetohexamide_Steady,Drug given while in hospital?,dichotomous/binary
x,glipizide_Down,Drug given while in hospital?,dichotomous/binary
x,glipizide_No,Drug given while in hospital?,dichotomous/binary
x,glipizide_Steady,Drug given while in hospital?,dichotomous/binary
x,glipizide_Up,Drug given while in hospital?,dichotomous/binary
x,glyburide_Down,Drug given while in hospital?,dichotomous/binary
x,glyburide_No,Drug given while in hospital?,dichotomous/binary
x,glyburide_Steady,Drug given while in hospital?,dichotomous/binary
x,glyburide_Up,Drug given while in hospital?,dichotomous/binary
x,tolbutamide_No,Drug given while in hospital?,dichotomous/binary
x,tolbutamide_Steady,Drug given while in hospital?,dichotomous/binary
x,pioglitazone_Down,Drug given while in hospital?,dichotomous/binary
x,pioglitazone_No,Drug given while in hospital?,dichotomous/binary
x,pioglitazone_Steady,Drug given while in hospital?,dichotomous/binary
x,pioglitazone_Up,Drug given while in hospital?,dichotomous/binary
x,rosiglitazone_Down,Drug given while in hospital?,dichotomous/binary
x,rosiglitazone_No,Drug given while in hospital?,dichotomous/binary
